                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.48589,                0.36431,                0.86273,                0.84006,                 0.8993,                0.91595,                0.64624,                 1.0233,                0.91089,                 1.1225,             0.00048406,             0.00048406,             0.00048406
                    117,                0.48687,                 0.3455,                0.85805,                0.70063,                0.67502,                0.72673,                0.51081,                 1.0971,                 1.1732,                 1.1776,             0.00047856,             0.00047856,             0.00047856
                    118,                0.48794,                0.35672,                0.85854,                0.67095,                   0.81,                0.78836,                0.57961,                 1.0399,                0.93921,                 1.1448,             0.00047306,             0.00047306,             0.00047306
                    119,                0.50314,                0.34753,                0.85911,                0.71753,                0.83695,                0.80866,                  0.591,                 1.0553,                0.75745,                 1.1887,             0.00046756,             0.00046756,             0.00046756
                    120,                0.48936,                0.34685,                0.86017,                0.73854,                0.74602,                0.82973,                0.62313,                 1.0248,                0.99911,                 1.1308,             0.00046206,             0.00046206,             0.00046206
                    121,                0.49809,                0.37381,                 0.8571,                0.69738,                0.80925,                0.84773,                 0.6314,                0.99779,                 1.1096,                 1.0985,             0.00045657,             0.00045657,             0.00045657
                    122,                 0.4957,                0.34094,                 0.8664,                0.63132,                0.92688,                0.80687,                0.57527,                 1.0516,                0.81657,                 1.1915,             0.00045107,             0.00045107,             0.00045107
                    123,                0.48066,                0.32646,                0.84962,                0.85365,                0.72144,                0.84769,                0.63665,                0.99855,                0.72979,                 1.1516,             0.00044557,             0.00044557,             0.00044557
                    124,                0.48504,                0.34035,                0.86292,                0.76493,                0.78857,                0.81228,                0.58528,                 1.0235,                0.81975,                 1.1979,             0.00044007,             0.00044007,             0.00044007
                    125,                 0.4731,                0.33277,                0.85375,                0.90255,                0.60639,                0.77146,                0.55857,                0.98884,                0.89655,                 1.1455,             0.00043457,             0.00043457,             0.00043457
                    126,                0.45871,                0.34378,                0.84569,                0.85905,                0.58519,                0.71153,                0.51225,                 1.0443,                0.97824,                 1.2002,             0.00042907,             0.00042907,             0.00042907
                    127,                0.47796,                0.33236,                0.85227,                0.81881,                0.89718,                0.94785,                0.69781,                 1.0071,                0.67474,                 1.1486,             0.00042357,             0.00042357,             0.00042357
                    128,                0.46394,                0.32873,                0.84958,                0.87044,                0.93288,                0.95847,                0.65671,                  1.022,                0.56217,                 1.1696,             0.00041807,             0.00041807,             0.00041807
                    129,                0.47759,                0.33949,                0.85573,                0.87856,                0.84397,                0.93946,                0.68186,                 1.0485,                0.80852,                 1.2077,             0.00041257,             0.00041257,             0.00041257
                    130,                0.46296,                0.31479,                0.84831,                0.70463,                 0.9563,                0.85836,                0.64212,                0.98403,                0.72944,                 1.1608,             0.00040707,             0.00040707,             0.00040707
                    131,                0.47505,                0.33896,                0.85449,                0.87604,                0.79407,                0.88934,                 0.6713,                0.96678,                0.68779,                 1.1542,             0.00040157,             0.00040157,             0.00040157
                    132,                0.45525,                0.31614,                0.84668,                0.89676,                0.64347,                0.75524,                0.55375,                0.99688,                 0.9902,                 1.1663,             0.00039607,             0.00039607,             0.00039607
                    133,                0.45847,                 0.3198,                 0.8409,                0.86616,                0.64904,                0.76884,                0.56329,                 1.0155,                0.91227,                 1.1959,             0.00039057,             0.00039057,             0.00039057
                    134,                0.45142,                0.31406,                 0.8533,                 0.7685,                0.80729,                0.84352,                0.61546,                0.98589,                0.93779,                 1.1744,             0.00038507,             0.00038507,             0.00038507
                    135,                0.44955,                0.31625,                0.85504,                0.90183,                0.82975,                0.93788,                0.69006,                 1.0357,                0.56961,                 1.2083,             0.00037957,             0.00037957,             0.00037957
                    136,                0.44662,                0.32415,                0.84604,                0.78361,                0.81339,                0.84002,                0.57298,                 1.0516,                0.79797,                 1.1977,             0.00037407,             0.00037407,             0.00037407
                    137,                0.45847,                0.31812,                0.84331,                0.76104,                0.96154,                0.95993,                0.67492,                 1.0965,                0.90572,                  1.204,             0.00036857,             0.00036857,             0.00036857
                    138,                0.44253,                0.30554,                0.84237,                0.78666,                0.73142,                0.83911,                0.57859,                 1.0916,                 1.1415,                 1.1937,             0.00036307,             0.00036307,             0.00036307
                    139,                 0.4557,                0.31544,                0.84239,                0.64367,                0.80481,                0.77777,                0.54996,                 1.0182,                 1.0025,                 1.1626,             0.00035758,             0.00035758,             0.00035758
                    140,                0.43855,                0.30774,                0.84278,                0.82451,                0.69041,                0.71333,                0.52569,                0.97776,                  1.032,                 1.1068,             0.00035208,             0.00035208,             0.00035208
                    141,                  0.444,                0.31363,                0.84197,                0.92878,                0.64444,                0.78261,                0.55272,                0.99792,                0.92367,                 1.1542,             0.00034658,             0.00034658,             0.00034658
                    142,                0.44522,                0.31117,                0.84892,                0.85744,                0.73435,                0.86831,                0.63305,                0.97663,                0.96836,                 1.1188,             0.00034108,             0.00034108,             0.00034108
                    143,                 0.4367,                0.30708,                0.84517,                0.78892,                0.87697,                0.92874,                0.65588,                 1.0256,                 1.0088,                 1.1576,             0.00033558,             0.00033558,             0.00033558
                    144,                0.42965,                0.30579,                0.84132,                0.71233,                0.94933,                0.92993,                0.63575,                 1.0402,                0.66371,                 1.1941,             0.00033008,             0.00033008,             0.00033008
                    145,                0.42879,                0.31013,                0.84069,                0.79289,                 0.8776,                0.93192,                0.63978,                 1.0336,                 0.9462,                 1.2042,             0.00032458,             0.00032458,             0.00032458
                    146,                0.42275,                0.29428,                0.83498,                0.79242,                 0.8921,                 0.9649,                0.68169,                 1.0107,                0.84237,                 1.1636,             0.00031908,             0.00031908,             0.00031908
                    147,                0.43435,                0.30276,                0.83876,                0.69877,                0.93818,                0.92253,                 0.6581,                0.98001,                0.81156,                 1.1244,             0.00031358,             0.00031358,             0.00031358
                    148,                 0.4211,                0.30665,                0.83873,                 0.7386,                0.75783,                0.83383,                0.63196,                0.97455,                 1.0991,                  1.114,             0.00030808,             0.00030808,             0.00030808
                    149,                0.42481,                0.28988,                 0.8356,                0.72594,                0.74244,                0.84153,                0.61769,                  1.016,                 1.3567,                 1.1515,             0.00030258,             0.00030258,             0.00030258
                    150,                0.41198,                0.29697,                0.82875,                0.69446,                0.80173,                0.75603,                0.54415,                0.97842,                 1.0205,                 1.1554,             0.00029708,             0.00029708,             0.00029708
                    151,                0.42085,                0.29872,                0.84424,                0.73857,                0.76155,                0.84143,                0.61098,                0.97316,                 1.1513,                 1.1204,             0.00029158,             0.00029158,             0.00029158
                    152,                0.41491,                0.28771,                0.84013,                0.80231,                0.92923,                0.96342,                0.69263,                0.98938,                0.76215,                 1.1273,             0.00028608,             0.00028608,             0.00028608
                    153,                0.40594,                0.28397,                 0.8385,                0.78873,                0.81702,                0.83265,                0.59343,                0.98258,                0.75943,                 1.1189,             0.00028058,             0.00028058,             0.00028058
